,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo Notebook Price List - 1st Jan'26 to 31st Jan '26,,,,,,,,,,,,,,,,,,,,,,,
,Legion 5,Gaming,83DG009DIN,i7 14650HX,,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4070 8GB,16_WQXGA_AG_350N_165_SRGB,LUNA_GREY,2.36kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,4 Zone RGB,-,Premium,165507,,165507,166334.66,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DG009DIN.webp
,Legion 5,Gaming,83DG00LEIN,i7 14650HX,,"16GB, 1TB SSD",Windows 11,Office 2024,RTX 4050 6GB,16_WQXGA_AG_350N_165_SRGB,Storm Grey,2.36kg,GX41C86982,1 year onsite,1 Year LUS,1 Year ADP,4 Zone RGB,,Premium,126589,,126589,127222.44,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DG00LEIN.webp
,Legion 5,Gaming,83DG00LFIN,i7 14650HX,,"16GB, 1TB SSD",Windows 11,Office 2024,RTX 4060 8GB,16_WQXGA_AG_350N_165_SRGB,Storm Grey,2.36kg,GX41C86982,1 year onsite,1 Year LUS,1 Year ADP,4 Zone RGB,,Premium,143616,,143616,144334.16,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DG00LFIN.webp
,Yoga 7 2-in-1,Convertible,83DJ006XIN,Core Ultra 5 125H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Arc™ Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,100765,13043,87722,125790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ006XIN.webp
,Yoga 7 2-in-1,Convertible,83DJ006YIN,Core Ultra 7 155H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Arc™ Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,118278,14000,104278,125790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ006YIN.webp
,Yoga 7 2-in-1,Convertible,83DJ008WIN,Core Ultra 7 155H,AI PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Arc™ Graphics,"14 2.8K (2880x1800) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 120Hz, Dolby Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,128008,,128008,128647.81,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ008WIN.webp
,Yoga 7 2-in-1,Convertible,83DJ00AKIN,Core Ultra 5 125H,AI PC,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Arc™ Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49Kg,-,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,"IR Camera, No Pen",Premium,91875,9000,82875,94890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ00AKIN.webp
,Yoga 7 2-in-1,Convertible,83DJ00AMIN,Core Ultra 5 125H,AI PC,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Arc™ Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Storm Grey,1.49Kg,-,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,"IR Camera, No Pen",Premium,91875,9000,82875,83289.22,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ00AMIN.webp
,Yoga 7 2-in-1,Convertible,83DJ00DDIN,Core Ultra 5 125H,AI PC,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel® Arc™ Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49Kg,-,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,"IR Camera, No Pen",Premium,91875,9000,82875,83289.25,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ00DDIN.webp
,Yoga 7 2-in-1,Convertible,83DJ00DFIN,Core Ultra 7 155H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel® Arc™ Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,118278,14000,104278,112890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ00DFIN.webp
